10791 - good, good, good - buy
3868 - flat, good, middle - not
3926 - good, good, middle - not
3987 - good, good, unknown - not
4014 - middle, good, unknown - not
4359 - good, good, unknown - not
4392 - good, good, good - buy
4484 - good, good, middle - not
4510 - good, middle, good - buy
4578 - good, bad, unknown - not
4690 - middle, good, unknown - not
4711 - good, good, unknown - not
4786 - good, good, unknown - not
4827 - good, good, unknown - not
4916 - good, good, unknown - not
5276 - middle, good, middle - not
5613 - middle, good, unknown - not
6027 - middle, bad, middle - not
6400 - good, unknown, unknown - not
6577 - good, good, good - buy
6679 - middle, middle, middle - not
6682 - good, good, middle - not
6746 - good, good, middle - not
6918 - good, good, middle - not
7049 - good, unknown, unknown - not
7052 - good, good, middle - not
7772 - good, good, good - buy
7938 - good, good, middle - not
8239 - middle, good, unknown - not
8622 - good, good, good - buy
8711 - good, middle, middle - not
8945 - best, good, unknown - not
9701 - best, good, unknown - not
10104 - best, unknown, unknown - not
10202 - best, unknown, unknown - not
10503 - best, unknown, unknown - not
10651 - best, unknown, unknown - not
11191 - best, unknown, unknown - not
11872 - best, best, unknown - not
12439 - risk, best, unknown - not
16063 - best, risk, risk - not
1758 - best, risk, best - not
1768 - middle, middle, good - not
2195 - good, middle, risk - not
2630 - best, good, middle - not
2660 - middle, middle, middle - not
8 - best, good, good - buy
22 - best, best, good - buy
173 - best, good, good - buy
216 - good, good, good - buy
372 - best, best, best - buy
380 - best, best, good - buy
777 - risk, risk, best - not
1243 - middle, middle, best - not
1285 - middle, best, best - buy
2123 - middle, best, best - buy
2208 - good, good, good - buy
2241 - middle, middle, best - not
2546 - good, good, good - buy
2861 - good, bad, bad - not
2864 - middle, bad, middle - not
2912 - good, middle, middle - not
2930 - risk, risk, risk - not
3154 - super, risk, super - buy
3246 - super, super, risk - not
3290 - risk, risk, risk - not
3348 - risk, super, super - buy
3423 - flat, super, unknown - not
3480 - good, good, unknown - not
3675 - super, unknown, unknown - not
3759 - super, super, good - buy
3769 - super, super, unknown - not
3770 - super, super, super - buy
3870 - super, super, good - buy
3877 - good, super, unknown - not
3985 - good, good, unknown - not
4196 - risk, super, unknown - not
4231 - middle, good, good - buy
4351 - good, good, unknown - not
4386 - super, super, unknown - not
4423 - super, super, unknown - not
4766 - middle, good, unknown - not
4854 - good, good, unknown - not
5422 - good, risk, unknown - not
6005 - middle, middle, unknown - not
6118 - super, good, good - buy
6163 - super, super, unknown - not
6227 - super, super, unknown - not
6318 - good, risk, unknown - not
6395 - good, good, good - buy
6592 - flat, super, unknown - not
6701 - good, good, unknown - not
6849 - middle, super, unknown - not
6862 - super, super, super - buy
7674 - super, super, unknown - not
7810 - good, good, good - buy
7958 - good, good, good - buy
8081 - good, good, unknown - not
8218 - good, super, super - buy
8352 - super, super, unknown - not
8377 - middle, good, unknown - not
8918 - middle, good, unknown - not
8937 - good, good, unknown - not
9400 - middle, middle, unknown - not
1622 - good, bad, unknown - not
3919 - super, super, unknown - not
3949 - risk, super, unknown - not
4391 - good, good, unknown - not
5004 - good, good, unknown - not
5420 - middle, unknown, unknown - not
6012 - good, good, unknown - not
6559 - good, good, good - buy
6934 - good, super, unknown - not
8082 - good, good, good - buy
8976 - good, unknown, unknown - not
903 - super, super, super - buy
1038 - good, good, good - buy
1264 - good, good, good - buy
1280 - super, super, super - buy
1510 - super, good, unknown - not
2133 - good, good, good - buy
2175 - super, super, super - buy
3226 - super, super, super - buy
3229 - super, super, super - buy
3858 - good, super, unknown - not
8204 - good, unknown, unknown - not
9384 - good, good, unknown - not
9902 - good, good, unknown - not
9917 - good, good, unknown - not
9927 - super, good, unknown - not
9944 - super, super, unknown - not
9951 - good, good, unknown - not
9978 - good, unknown, unknown - not
10017 - good, good, unknown - not
10217 - super, unknown, unknown - not
10289 - super, unknown, unknown - not
10432 - super, unknown, unknown - not
10512 - super, unknown, unknown - not
10566 - bad, good, unknown - not
10674 - good, unknown, unknown - not
11114 - good, unknown, unknown - not
11134 - good, unknown, unknown - not
11179 - risk, unknown, unknown - not
11180 - good, unknown, unknown - not
11237 - middle, risk, good - not
11270 - super, good, unknown - not
11452 - good, unknown, unknown - not
11506 - risk, unknown, unknown - not
11572 - middle, risk, unknown - not
11607 - good, good, good - buy
11608 - super, super, unknown - not
11640 - middle, middle, good - not
11656 - good, good, super - buy
11671 - super, good, good - buy
11734 - middle, good, unknown - not
11804 - good, good, unknown - not
11876 - good, super, unknown - not
11886 - middle, good, unknown - not
11899 - good, good, unknown - not
11902 - risk, flat, unknown - not
11951 - middle, good, unknown - not
12128 - good, good, unknown - not
12551 - middle, super, unknown - not
12638 - risk, good, unknown - not
12656 - middle, good, unknown - not
12668 - good, good, unknown - not
15338 - good, good, unknown - not
15982 - good, good, unknown - not
16325 - middle, super, super - buy
17714 - good, unknown, unknown - not
3521 - middle, good, unknown - not
4178 - middle, middle, good - not
5407 - good, unknown, unknown - not
7386 - middle, unknown, unknown - not
7692 - super, super, flat - not
7968 - middle, good, good - buy
8057 - good, good, good - buy
8139 - good, good, good - buy
8290 - good, unknown, unknown - not
10551 - middle, unknown, unknown - not
10607 - good, unknown, unknown - not
10785 - risk, unknown, unknown - not
11557 - risk, unknown, unknown - not
11970 - middle, unknown, unknown - not
12862 - risk, unknown, unknown - not
13958 - middle, unknown, unknown - not
15231 - middle, unknown, unknown - not
17653 - good, unknown, unknown - not
